freq_hz,angle_deg,spl_db
1500,-45,71.6644417316
1500,-42.5,72.818349083
1500,-40,74.0382658343
1500,-37.5,75.2531009269
1500,-35,76.4136625525
1500,-32.5,77.49179314
1500,-30,78.475217739
1500,-27.5,79.362225424
1500,-25,80.1573778887
1500,-22.5,80.8682081266
1500,-20,81.5026558702
1500,-17.5,82.0671320232
1500,-15,82.5652715859
1500,-12.5,82.9974754691
1500,-10,83.361236001
1500,-7.5,83.6520688161
1500,-5,83.8647497707
1500,-2.5,83.9945438478
1500,0,84.0381938862
1500,2.5,83.9945438478
1500,5,83.8647497707
1500,7.5,83.6520688161
1500,10,83.361236001
1500,12.5,82.9974754691
1500,15,82.5652715859
1500,17.5,82.0671320232
1500,20,81.5026558702
1500,22.5,80.8682081266
1500,25,80.1573778887
1500,27.5,79.362225424
1500,30,78.475217739
1500,32.5,77.49179314
1500,35,76.4136625525
1500,37.5,75.2531009269
1500,40,74.0382658343
1500,42.5,72.818349083
1500,45,71.6644417316
1575.31661946,-45,76.7300425656
1575.31661946,-42.5,77.1023187472
1575.31661946,-40,77.4423045935
1575.31661946,-37.5,77.7386003266
1575.31661946,-35,77.97894389
1575.31661946,-32.5,78.1522095741
1575.31661946,-30,78.2504422337
1575.31661946,-27.5,78.2708362223
1575.31661946,-25,78.2175913452
1575.31661946,-22.5,78.1034019002
1575.31661946,-20,77.9499108338
1575.31661946,-17.5,77.7859495762
1575.31661946,-15,77.6423899358
1575.31661946,-12.5,77.5438806331
1575.31661946,-10,77.5005950633
1575.31661946,-7.5,77.5048930351
1575.31661946,-5,77.5355323892
1575.31661946,-2.5,77.567153537
1575.31661946,0,77.5801235767
1575.31661946,2.5,77.567153537
1575.31661946,5,77.5355323892
1575.31661946,7.5,77.5048930351
1575.31661946,10,77.5005950633
1575.31661946,12.5,77.5438806331
1575.31661946,15,77.6423899358
1575.31661946,17.5,77.7859495762
1575.31661946,20,77.9499108338
1575.31661946,22.5,78.1034019002
1575.31661946,25,78.2175913452
1575.31661946,27.5,78.2708362223
1575.31661946,30,78.2504422337
1575.31661946,32.5,78.1522095741
1575.31661946,35,77.97894389
1575.31661946,37.5,77.7386003266
1575.31661946,40,77.4423045935
1575.31661946,42.5,77.1023187472
1575.31661946,45,76.7300425656
1654.41496769,-45,76.1249733586
1654.41496769,-42.5,76.688617795
1654.41496769,-40,77.2651521651
1654.41496769,-37.5,77.832258535
1654.41496769,-35,78.3653050463
1654.41496769,-32.5,78.841135199
1654.41496769,-30,79.2410047642
1654.41496769,-27.5,79.5524824896
1654.41496769,-25,79.7705361076
1654.41496769,-22.5,79.8980616118
1654.41496769,-20,79.9458806197
1654.41496769,-17.5,79.9318958118
1654.41496769,-15,79.8788824769
1654.41496769,-12.5,79.8106238373
1654.41496769,-10,79.7469983422
1654.41496769,-7.5,79.6998360513
1654.41496769,-5,79.6717366243
