freq_hz,angle_deg,spl_db
1500,-45,89.2655412547
1500,-42.5,89.5684821332
1500,-40,89.7880530375
1500,-37.5,89.8993397769
1500,-35,89.8749124946
1500,-32.5,89.6850454026
1500,-30,89.2976626304
1500,-27.5,88.6788809644
1500,-25,87.7966765363
1500,-22.5,86.635306245
1500,-20,85.2422401625
1500,-17.5,83.8493317596
1500,-15,83.0102753622
1500,-12.5,83.2463251306
1500,-10,84.2953328719
1500,-7.5,85.4991366975
1500,-5,86.4695131019
1500,-2.5,87.0728462317
1500,0,87.2757184263
1500,2.5,87.0728462317
1500,5,86.4695131019
1500,7.5,85.4991366975
1500,10,84.2953328719
1500,12.5,83.2463251306
1500,15,83.0102753622
1500,17.5,83.8493317596
1500,20,85.2422401625
1500,22.5,86.635306245
1500,25,87.7966765363
1500,27.5,88.6788809644
1500,30,89.2976626304
1500,32.5,89.6850454026
1500,35,89.8749124946
1500,37.5,89.8993397769
1500,40,89.7880530375
1500,42.5,89.5684821332
1500,45,89.2655412547
1620.09619893,-45,85.4550646842
1620.09619893,-42.5,85.8509674209
1620.09619893,-40,86.450042352
1620.09619893,-37.5,87.1987992036
1620.09619893,-35,88.0211413704
1620.09619893,-32.5,88.8394464774
1620.09619893,-30,89.5877948542
1620.09619893,-27.5,90.2163605909
1620.09619893,-25,90.6907400921
1620.09619893,-22.5,90.9897830549
1620.09619893,-20,91.1038899722
1620.09619893,-17.5,91.0345818791
1620.09619893,-15,90.795571321
1620.09619893,-12.5,90.4151869293
1620.09619893,-10,89.9393969662
1620.09619893,-7.5,89.4334913356
1620.09619893,-5,88.9788459847
1620.09619893,-2.5,88.6606326771
1620.09619893,0,88.5459622015
1620.09619893,2.5,88.6606326771
1620.09619893,5,88.9788459847
1620.09619893,7.5,89.4334913356
1620.09619893,10,89.9393969662
1620.09619893,12.5,90.4151869293
1620.09619893,15,90.795571321
1620.09619893,17.5,91.0345818791
1620.09619893,20,91.1038899722
1620.09619893,22.5,90.9897830549
1620.09619893,25,90.6907400921
1620.09619893,27.5,90.2163605909
1620.09619893,30,89.5877948542
1620.09619893,32.5,88.8394464774
1620.09619893,35,88.0211413704
1620.09619893,37.5,87.1987992036
1620.09619893,40,86.450042352
1620.09619893,42.5,85.8509674209
1620.09619893,45,85.4550646842
1749.80779587,-45,86.9013028155
1749.80779587,-42.5,87.2651292074
1749.80779587,-40,87.8005810078
1749.80779587,-37.5,88.4691999788
1749.80779587,-35,89.2122148448
1749.80779587,-32.5,89.9667859106
1749.80779587,-30,90.676181178
1749.80779587,-27.5,91.2939652381
1749.80779587,-25,91.7850076799
1749.80779587,-22.5,92.1255212547
1749.80779587,-20,92.3032413119
1749.80779587,-17.5,92.3181995954
1749.80779587,-15,92.1841248426
1749.80779587,-12.5,91.9299570203
1749.80779587,-10,91.6001381781
1749.80779587,-7.5,91.2516077491
1749.80779587,-5,90.9459393821
1749.80779587,-2.5,90.7378029398
1749.80779587,0,90.6641266934
1749.80779587,2.5,90.7378029398
1749.80779587,5,90.9459393821
1749.80779587,7.5,91.2516077491
1749.80779587,10,91.6001381781
1749.80779587,12.5,91.9299570203
1749.80779587,15,92.1841248426
1749.80779587,17.5,92.3181995954
1749.80779587,20,92.3032413119
1749.80779587,22.5,92.1255212547
1749.80779587,25,91.7850076799
1749.80779587,27.5,91.2939652381
1749.80779587,30,90.676181178
1749.80779587,32.5,89.9667859106
1749.80779587,35,89.2122148448
1749.80779587,37.5,88.4691999788
1749.80779587,40,87.8005810078
1749.80779587,42.5,87.2651292074
1749.80779587,45,86.9013028155
1889.9046393,-45,85.2019192142
