freq_hz,angle_deg,spl_db
1500,-45,78.6449608531
1500,-42.5,79.4874099124
1500,-40,80.3529715726
1500,-37.5,81.2519425499
1500,-35,82.1832444771
1500,-32.5,83.1357676447
1500,-30,84.0923967119
1500,-27.5,85.0343541914
1500,-25,85.944184928
1500,-22.5,86.8070029487
1500,-20,87.61049207
1500,-17.5,88.3443560357
1500,-15,88.9997304029
1500,-12.5,89.5687995739
1500,-10,90.0446597419
1500,-7.5,90.4213646003
1500,-5,90.6940639367
1500,-2.5,90.859160865
1500,0,90.9144421837
1500,2.5,90.859160865
1500,5,90.6940639367
1500,7.5,90.4213646003
1500,10,90.0446597419
1500,12.5,89.5687995739
1500,15,88.9997304029
1500,17.5,88.3443560357
1500,20,87.61049207
1500,22.5,86.8070029487
1500,25,85.944184928
1500,27.5,85.0343541914
1500,30,84.0923967119
1500,32.5,83.1357676447
1500,35,82.1832444771
1500,37.5,81.2519425499
1500,40,80.3529715726
1500,42.5,79.4874099124
1500,45,78.6449608531
1575.31661946,-45,82.3593122139
1575.31661946,-42.5,82.8852374129
1575.31661946,-40,83.3736664522
1575.31661946,-37.5,83.8121751091
1575.31661946,-35,84.1888427483
1575.31661946,-32.5,84.4934438978
1575.31661946,-30,84.7185242229
1575.31661946,-27.5,84.8603732531
1575.31661946,-25,84.9199063516
1575.31661946,-22.5,84.9033996572
1575.31661946,-20,84.8228797231
1575.31661946,-17.5,84.6957901782
1575.31661946,-15,84.5434651152
1575.31661946,-12.5,84.3881608813
1575.31661946,-10,84.2491102471
1575.31661946,-7.5,84.1390182193
1575.31661946,-5,84.0627852459
1575.31661946,-2.5,84.0192995857
1575.31661946,0,84.0053328063
1575.31661946,2.5,84.0192995857
1575.31661946,5,84.0627852459
1575.31661946,7.5,84.1390182193
1575.31661946,10,84.2491102471
1575.31661946,12.5,84.3881608813
1575.31661946,15,84.5434651152
1575.31661946,17.5,84.6957901782
1575.31661946,20,84.8228797231
1575.31661946,22.5,84.9033996572
1575.31661946,25,84.9199063516
1575.31661946,27.5,84.8603732531
1575.31661946,30,84.7185242229
1575.31661946,32.5,84.4934438978
1575.31661946,35,84.1888427483
1575.31661946,37.5,83.8121751091
1575.31661946,40,83.3736664522
1575.31661946,42.5,82.8852374129
1575.31661946,45,82.3593122139
1654.41496769,-45,82.0676426369
1654.41496769,-42.5,82.7093604676
1654.41496769,-40,83.3432283839
1654.41496769,-37.5,83.9485843236
1654.41496769,-35,84.5049668506
1654.41496769,-32.5,84.9940746681
1654.41496769,-30,85.401215939
1654.41496769,-27.5,85.7163084266
1654.41496769,-25,85.934576617
1654.41496769,-22.5,86.0570656766
1654.41496769,-20,86.0909784183
1654.41496769,-17.5,86.0496738976
1654.41496769,-15,85.9520047885
1654.41496769,-12.5,85.8206380127
1654.41496769,-10,85.6792692679
1654.41496769,-7.5,85.5492594948
1654.41496769,-5,85.4468621575
1654.41496769,-2.5,85.3822049378
1654.41496769,0,85.3601971169
1654.41496769,2.5,85.3822049378
1654.41496769,5,85.4468621575
1654.41496769,7.5,85.5492594948
1654.41496769,10,85.6792692679
1654.41496769,12.5,85.8206380127
1654.41496769,15,85.9520047885
1654.41496769,17.5,86.0496738976
1654.41496769,20,86.0909784183
1654.41496769,22.5,86.0570656766
1654.41496769,25,85.934576617
1654.41496769,27.5,85.7163084266
1654.41496769,30,85.401215939
1654.41496769,32.5,84.9940746681
1654.41496769,35,84.5049668506
1654.41496769,37.5,83.9485843236
1654.41496769,40,83.3432283839
1654.41496769,42.5,82.7093604676
1654.41496769,45,82.0676426369
1737.48492938,-45,82.2967911653
1737.48492938,-42.5,82.9816994171
1737.48492938,-40,83.6866484065
1737.48492938,-37.5,84.3826411712
1737.48492938,-35,85.040411685
1737.48492938,-32.5,85.6334394359
1737.48492938,-30,86.1398685329
1737.48492938,-27.5,86.543548629
1737.48492938,-25,86.8345643364
1737.48492938,-22.5,87.0095802677
1737.48492938,-20,87.0721891546
1737.48492938,-17.5,87.0332594235
1737.48492938,-15,86.9110549084
1737.48492938,-12.5,86.7306856091
1737.48492938,-10,86.522373659
1737.48492938,-7.5,86.3182884844
1737.48492938,-5,86.1483940121
1737.48492938,-2.5,86.0364714262
1737.48492938,0,85.9974790695
1737.48492938,2.5,86.0364714262
1737.48492938,5,86.1483940121
1737.48492938,7.5,86.3182884844
1737.48492938,10,86.522373659
1737.48492938,12.5,86.7306856091
1737.48492938,15,86.9110549084
1737.48492938,17.5,87.0332594235
1737.48492938,20,87.0721891546
