freq_hz,angle_deg,spl_db
1500,-45,89.4306652492
1500,-42.5,90.0790309743
1500,-40,90.6549397957
1500,-37.5,91.1211567387
1500,-35,91.4436576413
1500,-32.5,91.5905832821
1500,-30,91.5299339857
1500,-27.5,91.2267955684
1500,-25,90.6406377126
1500,-22.5,89.7238271795
1500,-20,88.4260061655
1500,-17.5,86.7235428074
1500,-15,84.7439783004
1500,-12.5,83.1056091703
1500,-10,82.8783533222
1500,-7.5,83.9618396137
1500,-5,85.2353689498
1500,-2.5,86.0964066174
1500,0,86.3910850994
1500,2.5,86.0964066174
1500,5,85.2353689498
1500,7.5,83.9618396137
1500,10,82.8783533222
1500,12.5,83.1056091703
1500,15,84.7439783004
1500,17.5,86.7235428074
1500,20,88.4260061655
1500,22.5,89.7238271795
1500,25,90.6406377126
1500,27.5,91.2267955684
1500,30,91.5299339857
1500,32.5,91.5905832821
1500,35,91.4436576413
1500,37.5,91.1211567387
1500,40,90.6549397957
1500,42.5,90.0790309743
1500,45,89.4306652492
1620.09619893,-45,84.440779772
1620.09619893,-42.5,84.9780868629
1620.09619893,-40,85.6983413868
1620.09619893,-37.5,86.5327031965
1620.09619893,-35,87.4083919935
1620.09619893,-32.5,88.2589234956
1620.09619893,-30,89.0260871327
1620.09619893,-27.5,89.6598008234
1620.09619893,-25,90.1183017695
1620.09619893,-22.5,90.3687919122
1620.09619893,-20,90.3885125721
1620.09619893,-17.5,90.1668468073
1620.09619893,-15,89.7095396664
1620.09619893,-12.5,89.0460603218
1620.09619893,-10,88.2395785037
1620.09619893,-7.5,87.3942294001
1620.09619893,-5,86.6471677347
1620.09619893,-2.5,86.1355599517
1620.09619893,0,85.95431688
1620.09619893,2.5,86.1355599517
1620.09619893,5,86.6471677347
1620.09619893,7.5,87.3942294001
1620.09619893,10,88.2395785037
1620.09619893,12.5,89.0460603218
1620.09619893,15,89.7095396664
1620.09619893,17.5,90.1668468073
1620.09619893,20,90.3885125721
1620.09619893,22.5,90.3687919122
1620.09619893,25,90.1183017695
1620.09619893,27.5,89.6598008234
1620.09619893,30,89.0260871327
1620.09619893,32.5,88.2589234956
1620.09619893,35,87.4083919935
1620.09619893,37.5,86.5327031965
1620.09619893,40,85.6983413868
1620.09619893,42.5,84.9780868629
1620.09619893,45,84.440779772
1749.80779587,-45,83.6303279958
1749.80779587,-42.5,84.187302545
1749.80779587,-40,84.8642060992
1749.80779587,-37.5,85.5856312572
1749.80779587,-35,86.2945384081
1749.80779587,-32.5,86.95802616
1749.80779587,-30,87.5572875256
1749.80779587,-27.5,88.0749882119
1749.80779587,-25,88.4885244626
1749.80779587,-22.5,88.7717476054
1749.80779587,-20,88.9031144807
1749.80779587,-17.5,88.8765439528
1749.80779587,-15,88.7117095587
1749.80779587,-12.5,88.4595808279
1749.80779587,-10,88.1952542503
1749.80779587,-7.5,87.9907497363
1749.80779587,-5,87.8786184989
1749.80779587,-2.5,87.8399552566
1749.80779587,0,87.8337438092
1749.80779587,2.5,87.8399552566
1749.80779587,5,87.8786184989
1749.80779587,7.5,87.9907497363
1749.80779587,10,88.1952542503
1749.80779587,12.5,88.4595808279
1749.80779587,15,88.7117095587
1749.80779587,17.5,88.8765439528
1749.80779587,20,88.9031144807
1749.80779587,22.5,88.7717476054
1749.80779587,25,88.4885244626
1749.80779587,27.5,88.0749882119
1749.80779587,30,87.5572875256
1749.80779587,32.5,86.95802616
1749.80779587,35,86.2945384081
1749.80779587,37.5,85.5856312572
1749.80779587,40,84.8642060992
1749.80779587,42.5,84.187302545
1749.80779587,45,83.6303279958
1889.9046393,-45,81.1923836782
1889.9046393,-42.5,82.0965850536
1889.9046393,-40,83.137073315
1889.9046393,-37.5,84.1414642978
1889.9046393,-35,85.0006206631
1889.9046393,-32.5,85.6722651135
1889.9046393,-30,86.1625237502
1889.9046393,-27.5,86.5072540104
1889.9046393,-25,86.7551198743
1889.9046393,-22.5,86.9520682693
1889.9046393,-20,87.1319339752
1889.9046393,-17.5,87.3182416832
1889.9046393,-15,87.5327050271
1889.9046393,-12.5,87.796557456
1889.9046393,-10,88.1166046484
1889.9046393,-7.5,88.4675498498
1889.9046393,-5,88.791918974
1889.9046393,-2.5,89.0216357855
1889.9046393,0,89.1045822116
1889.9046393,2.5,89.0216357855
1889.9046393,5,88.791918974
1889.9046393,7.5,88.4675498498
1889.9046393,10,88.1166046484
1889.9046393,12.5,87.796557456
1889.9046393,15,87.5327050271
1889.9046393,17.5,87.3182416832
1889.9046393,20,87.1319339752
1889.9046393,22.5,86.9520682693
1889.9046393,25,86.7551198743
1889.9046393,27.5,86.5072540104
1889.9046393,30,86.1625237502
1889.9046393,32.5,85.6722651135
1889.9046393,35,85.0006206631
1889.9046393,37.5,84.1414642978
1889.9046393,40,83.137073315
1889.9046393,42.5,82.0965850536
1889.9046393,45,81.1923836782
2041.21821499,-45,82.0223552973
2041.21821499,-42.5,82.6640376335
2041.21821499,-40,83.370756197
2041.21821499,-37.5,84.2081478322
2041.21821499,-35,85.1362240275
2041.21821499,-32.5,86.0404983003
2041.21821499,-30,86.8103657426
2041.21821499,-27.5,87.3847761594
2041.21821499,-25,87.7568780906
2041.21821499,-22.5,87.9622490674
2041.21821499,-20,88.0641155406
2041.21821499,-17.5,88.1374013053
2041.21821499,-15,88.2511686194
2041.21821499,-12.5,88.4503822023
2041.21821499,-10,88.7404570472
2041.21821499,-7.5,89.0825232363
2041.21821499,-5,89.406604133
2041.21821499,-2.5,89.6378298031
2041.21821499,0,89.721481932
2041.21821499,2.5,89.6378298031
2041.21821499,5,89.406604133
2041.21821499,7.5,89.0825232363
2041.21821499,10,88.7404570472
2041.21821499,12.5,88.4503822023
2041.21821499,15,88.2511686194
2041.21821499,17.5,88.1374013053
2041.21821499,20,88.0641155406
2041.21821499,22.5,87.9622490674
2041.21821499,25,87.7568780906
2041.21821499,27.5,87.3847761594
2041.21821499,30,86.8103657426
2041.21821499,32.5,86.0404983003
2041.21821499,35,85.1362240275
2041.21821499,37.5,84.2081478322
2041.21821499,40,83.370756197
2041.21821499,42.5,82.6640376335
2041.21821499,45,82.0223552973
2204.64658086,-45,81.1460784047
2204.64658086,-42.5,81.949110987
2204.64658086,-40,82.947152631
2204.64658086,-37.5,83.9741528167
2204.64658086,-35,84.9015219086
2204.64658086,-32.5,85.6467255351
2204.64658086,-30,86.1669244025
2204.64658086,-27.5,86.4550975804
2204.64658086,-25,86.5413554776
2204.64658086,-22.5,86.4961182778
2204.64658086,-20,86.4269390995
2204.64658086,-17.5,86.4567726719
2204.64658086,-15,86.6796045888
